time,open,high,low,close
1782833880,30414.5,30414.5,30401.75,30404.5
1782833940,30404.5,30413.5,30403.5,30409
1782834000,30409.25,30422.25,30404,30405.75
1782834060,30405.5,30421,30393.75,30417.75
1782834120,30417.5,30423,30408.75,30421.25
1782834180,30422.25,30425.25,30413.75,30422.5
1782834240,30422,30427,30411.5,30415.5
1782834300,30415.75,30435.75,30415,30429.25
1782834360,30429,30440,30421.75,30431.5
1782834420,30431.75,30438,30425,30426.25
1782834480,30427,30432,30417.75,30427
1782834540,30427.5,30435,30425.75,30431.75
1782834600,30432.25,30451.75,30429.75,30443.25
1782834660,30443.75,30446.5,30433,30442
1782834720,30442.5,30455.25,30437.25,30450.75
1782834780,30450.25,30470.5,30449.75,30467.75
1782834840,30467.5,30467.75,30460.5,30467.5
1782834900,30467.25,30479.5,30461,30479.5
1782834960,30479,30482,30472,30476.5
1782835020,30476,30481.5,30469.5,30479.75
1782835080,30480,30481,30464.5,30465
1782835140,30465.25,30469.75,30459.25,30459.75
1782835200,30460.5,30470.5,30452.5,30465.25
1782835260,30465.5,30478.5,30465.5,30475.5
1782835320,30474.75,30484.5,30472,30484.25
1782835380,30483.75,30487.5,30477.25,30482.5
1782835440,30482,30487.75,30476.25,30483.5
1782835500,30483.5,30491.5,30479.75,30487.5
1782835560,30487.5,30495.5,30484.5,30495.5
1782835620,30495.5,30496,30489.25,30491
1782835680,30491.5,30495.75,30487.25,30489.5
1782835740,30490.5,30490.5,30480.75,30484
1782835800,30483.75,30488.25,30479.5,30488.25
1782835860,30487.75,30489.5,30474.25,30479
1782835920,30479.5,30488.25,30478.5,30484.75
1782835980,30484.75,30488.5,30478.5,30482
1782836040,30481.75,30489,30479.75,30487.75
1782836100,30487.75,30494.25,30482.25,30493.5
1782836160,30493.5,30508.25,30491.25,30507
1782836220,30506.5,30507.25,30498.75,30500
1782836280,30499.5,30500,30492.75,30499
1782836340,30499,30504,30495.75,30501.5
1782836400,30500.75,30504.25,30497.25,30501
1782836460,30500.5,30501,30495,30495.25
1782836520,30495.25,30500,30494.25,30499
1782836580,30499.5,30500.75,30487.5,30489.25
1782836640,30489,30499.25,30486.75,30497.5
1782836700,30496.5,30496.75,30486.75,30492
1782836760,30492.25,30503,30492.25,30500.75
1782836820,30500.5,30509,30500.5,30503.75
